Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11974,41,9,217,"",27,Leaf,2018,"","",125.0,MPGe,100.0,MPGe,"","",Auto,SI,110 kW,"","110 kW electric motor;
115 Ah battery","","","","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Hybrid Electric
11849,41,1,381,"",27,fortwo electric drive convertable,2018,"","",112.0,MPGe,91.0,MPGe,"","",Auto,e-motor,60 kW electric motor,"","60 kW electric motor;
51 Ah battery","","","","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11847,41,1,381,"",27,fortwo electric drive coupe,2018,"","",124.0,MPGe,94.0,MPGe,"","",Auto,e-motor,60 kW electric motor,"","60 kW electric motor;
51 Ah battery","","","","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11966,41,1,237,"",27,Model 3 Long Range,2018,"","",136.0,MPGe,123.0,MPGe,"","",Auto,e-motor,211 kW electric motor,"","211 kW electric motor;
230 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
12057,41,1,237,"",27,Model 3 Long Range AWD,2018,"","",120.0,MPGe,112.0,MPGe,"","",Auto,e-motor,147 kW and 188 kW electric motor,"","147 kW and 188 kW electric motors; 
230 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
12058,41,1,237,"",27,Model 3 Long Range AWD Performance,2018,"","",120.0,MPGe,112.0,MPGe,"","",Auto,e-motor,147 kW and 188 kW electric motor,"","147 kW and 211 kW electric motors;
230 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11965,41,1,237,"",27,Model S 75 kWh,2018,"","",97.0,MPGe,100.0,MPGe,"","",Auto,e-motor,270 kW electric motor,"","270 kW electric motor;
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11964,41,1,237,"",27,Model S AWD - 100D,2018,"","",101.0,MPGe,102.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2);
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11962,41,1,237,"",27,Model S AWD - 75D,2018,"","",102.0,MPGe,105.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2);
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11963,41,1,237,"",27,Model S AWD - P100D,2018,"","",92.0,MPGe,105.0,MPGe,"","",Auto,e-motor,193 kW and 375 kW electric motor,"","193 kW and 375 kW electric motors;
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11959,41,1,237,"",29,Model X AWD - 100D,2018,"","",86.0,MPGe,89.0,MPGe,"","",Auto,e-motor,193 kW and 193 kW electric motor,"","193 kW and 193 kW electric motors;
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11958,41,1,237,"",29,Model X AWD - 75D,2018,"","",91.0,MPGe,95.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2);
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11961,41,1,237,"",29,Model X AWD - P100D,2018,"","",83.0,MPGe,89.0,MPGe,"","",Auto,e-motor,193 kW and 375 kW electric motor,"","193 kW and 375 kW electric motors;
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11637,41,1,211,"",27,i3 BEV,2017,"","",129.0,MPGe,106.0,MPGe,"","",Auto,SI,125 kW ,"",125 kW electric motor - 94 Amp-hour battery,"","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11636,41,1,211,"",27,i3 BEV,2017,"","",137.0,MPGe,111.0,MPGe,"","",Auto,SI,125 kW,"",125 kW electric motor - 60 Amp-hour battery,"","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11813,41,1,410,"",27,e6,2017,"","",73.0,Mpge,71.0,Mpge,"","",Auto,SI,"","","","","","","","","","","",BYD Motors,http://www.byd.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11638,41,1,215,"",27,Bolt,2017,"","",128.0,MPGe,110.0,MPGe,"","",Auto,SI,150 kW,"","150 kW electric motor
60 kWh battery","","","","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11639,41,1,379,"",27,500e,2017,"","",121.0,MPGe,103.0,MPGe,"","",Auto,SI,82 kW,"","82 kW electric motor
24 kWh battery","","","","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11765,41,1,219,"",27,Focus Electric,2017,"","",118.0,Mpge,96.0,Mpge,"","",Auto,SI,107 kW,"","107 kW electric motor
34 kWh battery",34 kWh battery,"","","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11843,41,1,209,"",27,Clarity,2017,"","",126.0,MPGe,103.0,MPGe,"","",Auto,e-motor,120 kW electric motor,"","120 kW electric motor
82 Ah battery","","","","","","","","",Honda,http://automobiles.honda.com,ELEC,Electric,Sedan/Wagon,Dedicated
11640,41,1,351,"",27,Ioniq,2017,"","",150.0,MPGe,122.0,MPGe,"","",Auto,SI,"","","88 kW electric motor
28 kWh battery","","","","","","","","",Hyundai,http://www.hyundaiusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11768,41,1,361,"",27,Soul,2017,"","",120.0,Mpge,92.0,Mpge,"","",Auto,SI,81 kW ,"","81 kW electric motor
27 kWh battery",27 kWh battery,"","","","","","","",Kia,http://www.kia.com,ELEC,Electric,Sedan/Wagon,Dedicated
11641,41,1,239,"",27,B250e,2017,"","",85.0,MPGe,82.0,MPGe,"","",Auto,SI,132 kW,"","132 kW electric motor
28 kWh battery","","","","","","","","",Mercedes-Benz,http://www.mbusa.com/mercedes/,ELEC,Electric,Sedan/Wagon,Dedicated
11642,41,1,263,"",27,i-MiEV,2017,"","",121.0,MPGe,102.0,MPGe,"","",Auto,SI,"","",49 kW electric motor 16 kW battery,"","","","","","","","",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
11771,41,1,217,"",27,Leaf,2017,"","",124.0,Mpge,101.0,Mpge,"","",Auto,SI,80 kW,"","80 kW electric motor
30 kWh battery",30 kWh battery,"","","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11848,41,1,381,"",27,fortwo electric drive convertable,2017,"","",112.0,MPGe,91.0,MPGe,"","",Auto,e-motor,60 kW electric motor,"","60 kW electric motor
51 Ah battery","","","","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11846,41,1,381,"",27,fortwo electric drive coupe,2017,"","",124.0,MPGe,94.0,MPGe,"","",Auto,e-motor,60 kW electric motor,"","60 kW electric motor
51 Ah battery","","","","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11852,41,1,237,"",27,Model 3 Long Range,2017,"","",131.0,MPGe,120.0,MPGe,"","",Auto,e-motor,211 kW electric motor,"","211 kW electric motor
230 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11851,41,1,237,"",27,Model S AWD - 100D,2017,"","",101.0,MPGe,102.0,MPGe,"","",Auto,e-motor,193 kW and 375 kW electric motor,"","193 kW and 375 kW electric motors
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11777,41,1,237,"",27,Model S AWD - 60D,2017,"","",101.0,MPGe,107.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2)
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11778,41,1,237,"",27,Model S AWD - 75D,2017,"","",102.0,MPGe,105.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motors (X2)
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11780,41,1,237,"",27,Model S AWD - P100D,2017,"","",92.0,MPGe,105.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2)
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11779,41,1,237,"",27,Model S AWD - P90D,2017,"","",92.0,MPGe,100.0,MPGe,"","",Auto,e-motor,193 kW and 375 kW electric motor,"","193 kW and 375 kW electric motors
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11781,41,1,237,"",27,Model S RWD 60 kWh,2017,"","",98.0,MPGe,101.0,MPGe,"","",Auto,e-motor,285 kW electric motor,"","285 kW electric motor
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11782,41,1,237,"",27,Model S RWD 75 kWh,2017,"","",97.0,MPGe,100.0,MPGe,"","",Auto,e-motor,285 kW electric motor,"","285 kW electric motor
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11850,41,1,237,"",27,Model S RWD 90D,2017,"","",102.0,MPGe,107.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2)
245 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11960,41,1,237,"",29,Model X AWD - 100D,2017,"","",86.0,MPGe,89.0,MPGe,"","",Auto,e-motor,193 kW and 193 kW electric motor,"","193 kW and 193 kW electric motors;
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11812,41,1,237,"",29,Model X AWD - 60D,2017,"","",91.0,MPGe,94.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2)
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11773,41,1,237,"",29,Model X AWD - 75D,2017,"","",91.0,MPGe,95.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motor (X2)
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11774,41,1,237,"",29,Model X AWD - 90D,2017,"","",90.0,MPGe,94.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW electric motors (X2)
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11775,41,1,237,"",29,Model X AWD - P100D,2017,"","",81.0,MPGe,92.0,MPGe,"","",Auto,e-motor,193 kW electric motor (X2),"","193 kW and 375 kW electric motors
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11776,41,1,237,"",29,Model X AWD - P90D,2017,"","",89.0,MPGe,90.0,MPGe,"","",Auto,e-motor,193 kW and 375 kW electric motor,"","193 kW and 375 kW electric motor (X2)
250 Ah battery","","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11644,41,1,347,"",27,e-Golf,2017,"","",119.0,MPGe,111.0,MPGe,"","",Auto,SI,"","","100 kW electric motor
36 kWh battery","","","","","","","","",Volkswagen,http://www.vw.com,ELEC,Electric,Sedan/Wagon,Dedicated
11598,41,1,211,"",27,i3,2016,"","",137.0,Mpge,111.0,Mpge,"","",Auto,SI,125 kW ,"",125 kW electric motor 21 kWh battery,"",21 kWh,"","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11599,41,1,215,"",27,Spark,2016,"","",128.0,Mpge,108.0,Mpge,"","",Auto,SI,104 kW,"",104 kW electric motor 20 kWh battery,"",20 kWh,"","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11600,41,1,379,"",27,500e,2016,"","",122.0,Mpge,108.0,Mpge,"","",Auto,SI,83kW,"",83kW electric motor 24 kWh battery,"",24 kWh,"","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11601,41,1,219,"",27,Focus,2016,"","",110.0,Mpge,99.0,Mpge,"","",Auto,SI,107 kW,"",107 kW electric motor 23 kWh battery,"",23 kWh,"","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11603,41,1,239,"",27,B250e,2016,"","",85.0,Mpge,82.0,Mpge,"","",Auto,SI,132 kW,"",132 kW electric motor 28 kWh battery,"",28 kWh,"","","","","","",Mercedes-Benz,http://www.mbusa.com/mercedes/,ELEC,Electric,Sedan/Wagon,Dedicated
11604,41,1,263,"",27,i-MiEV,2016,"","",126.0,Mpge,99.0,Mpge,"","",Auto,SI,49 kW,"",49 kW electric motor 16 kWh battery,"",16 kWh,"","","","","","",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
11605,41,1,217,"",27,Leaf,2016,"","",126.0,Mpge,101.0,Mpge,"","",Auto,SI,80 kW,"",80 kW electric motor 24 kWh battery,"",24 kWh,"","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11606,41,1,381,"",27,fortwo,2016,"","",122.0,Mpge,93.0,Mpge,"","",Auto,SI,55 kW,"",55 kW electric motor 17.6 kWh battery,"",17.6 kWh,"","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11607,41,1,237,"",27,Model S,2016,"","",88.0,Mpge,90.0,Mpge,"","",Auto,SI,285 kW,"",285 kW electric motor 70 kWh battery,"",70 kWh,"","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11608,41,1,237,"",27,Model S AWD,2016,"","",95.0,Mpge,106.0,Mpge,"","",Auto,SI,350/285 kW,"",350/285 kW electric motor 90 kWh battery,"",90 kWh,"","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11609,41,1,237,"",29,Model X AWD 90D,2016,"","",90.0,Mpge,94.0,Mpge,"","",Auto,SI,193/193 kW,"",193/193 kW electric motor 90 kWh battery,"",90 kWh,"","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11610,41,1,237,"",29,Model X AWD P90D,2016,"","",89.0,Mpge,90.0,Mpge,"","",Auto,SI,193/375 kW,"",193/375 kW electric motor 90 kWh battery,"",90 kWh,"","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,SUV,Dedicated
11611,41,1,347,"",27,e-Golf,2016,"","",126.0,Mpge,105.0,Mpge,"","",Auto,SI,85 kW,"",85 kW electric motor 24.2 kWh battery,"",24.2 kWh,"","","","","","",Volkswagen,http://www.vw.com,ELEC,Electric,Sedan/Wagon,Dedicated
11344,41,1,211,"",27,i3,2015,"","",137.0,Mpge,111.0,Mpge,"","",Auto,"",125 kW,"","125 kW electric motor, 21 kWh battery","",21 kWh,"","","","","",81 mi all electric range,BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11345,41,1,215,"",27,Spark,2015,"","",128.0,Mpge,109.0,Mpge,"","",Auto,e-motor,104 kW,"","104 kW electric motor, 20 kWh battery","",20 kWh,"","","","","",82 mi all electric range,Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11346,41,1,379,"",27,500e,2015,"","",122.0,Mpge,108.0,Mpge,"","",Auto,e-motor,83 kW,"","83kW electric motor, 24 kWh battery","",24 kWh,"","","","","",87 mi all electric range,Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11347,41,1,219,"",27,Focus,2015,"","",110.0,Mpge,99.0,Mpge,"","",Auto,e-motor,107 kW,"","107 kW electric motor, 23 kWh battery","",23 kWh,"","","","","",76 mi all electric range,Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11349,41,1,361,"",27,Soul,2015,"","",120.0,Mpge,92.0,Mpge,"","",Auto,e-motor,50 kW,"","50 kW electric motor, 16.4 kWh battery","",16.4 kWh,"","","","","",93 mi all electric range,Kia,http://www.kia.com,ELEC,Electric,Sedan/Wagon,Dedicated
11350,41,1,239,"",27,B-Class Electric,2015,"","",85.0,Mpge,83.0,Mpge,"","",Auto,e-motor,132 kW,"","132 kW electric motor, 28 kWh battery","",28 kWh,"","","","","",87 mi all electric range,Mercedes-Benz,http://www.mbusa.com/mercedes/,ELEC,Electric,Sedan/Wagon,Dedicated
11351,41,1,263,"",27,i-MiEV,2015,"","",126.0,Mpge,99.0,Mpge,"","",Auto,e-motor,49 kW,"","49 kW electric motor, 16 kWh battery","",16 kWh,"","","","","",62 mi all electric range,Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
11352,41,1,217,"",27,Leaf,2015,"","",126.0,Mpge,101.0,Mpge,"","",Auto,e-motor,80 kW,"","80 kW electric motor, 24 kWh battery","",24 kWh,"","","","","",84 mi all electric range,Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11353,41,1,381,"",27,fortwo,2015,"","",122.0,Mpge,93.0,Mpge,"","",Auto,e-motor,55 kW,"","55 kW electric motor, 17.6 kWh battery","",17.6 kWh,"","","","","",68 mi all electric range,smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11354,41,1,237,"",27,Model S,2015,"","",94.0,Mpge,97.0,Mpge,"","",Auto,e-motor,300 kW,"","300 kW electric motor, 60 kWh battery","",60 kWh,"","","","","",208 mi all electric range,Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11356,41,1,347,"",27,e-Golf,2015,"","","",Mpge,"",Mpge,"","",Auto,e-motor,85 kW,"","85 kW electric motor, 24.2 kWh battery","",24.2 kWh,"","","","","",85 mi est. all electric range,Volkswagen,http://www.vw.com,ELEC,Electric,Sedan/Wagon,Dedicated
11260,41,1,211,"",27,i3,2014,"","","",NULL,"",NULL,"","",Auto,"",125,"",125 kW electric motor,"",21 kWh,"","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11261,41,1,215,"",27,Spark,2014,"","",128.0,mpge,109.0,mpge,"","",Auto,"",104,"",104 kW electric motor,"",20 kWh,"","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11262,41,1,379,"",27,500e,2014,"","",122.0,mpge,108.0,mpge,"","",Auto,"",83kW,"",83kW electric motor,"",24 kWh,"","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11263,41,1,219,"",27,Focus,2014,"","",110.0,mpge,99.0,mpge,"","",Auto,"",107,"",107 kW electric motor,"",23 kWh,"","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11264,41,1,209,"",27,Fit,2014,"","",132.0,mpge,105.0,mpge,"","",Auto,"",92,"",92 kW electric motor,"",20 kWh,"","","","","","",Honda,http://automobiles.honda.com,ELEC,Electric,Sedan/Wagon,Dedicated
11265,41,1,361,"",27,Soul,2014,"","","",NULL,"",NULL,"","",Auto,"",50,"",50 kW electric motor,"",16.4 kWh,"","","","","","",Kia,http://www.kia.com,ELEC,Electric,Sedan/Wagon,Dedicated
11266,41,1,239,"",27,B-Class Electric,2014,"","","",NULL,"",NULL,"","",Auto,"",100,"",100 kW electric motor,"",28 kWh,"","","","","","",Mercedes-Benz,http://www.mbusa.com/mercedes/,ELEC,Electric,Sedan/Wagon,Dedicated
11267,41,1,263,"",27,i-MiEV,2014,"","",126.0,mpge,99.0,mpge,"","",Auto,"",49,"",49 kW electric motor,"",16 kWh,"","","","","","",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
11268,41,1,217,"",27,Leaf,2014,"","","",NULL,"",NULL,"","",Auto,"",80,"",80 kW electric motor,"",24 kWh,"","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11269,41,1,353,"",27,iQ EV,2014,"","",138.0,mpge,105.0,mpge,"","",Auto,"",47,"",47 kW electric motor,"",12.0 kWh,"","","","","","",Scion,http://www.scion.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11270,41,1,381,"",27,fortwo,2014,"","",122.0,mpge,93.0,mpge,"","",Auto,"",55,"",55 kW electric motor,"",17.6 kWh,"","","","","","",smart,http://www.smartusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11271,41,1,237,"",27,Model S,2014,"","",94.0,mpge,97.0,mpge,"","",Auto,"",300,"",300 kW electric motor,"",60 kWh,"","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11272,41,1,221,"",29,RAV 4 EV,2014,"","",78.0,mpge,74.0,mpge,"","",Auto,"",115,"",115 kW electric motor,"",41.8 kWh,"","","","","","",Toyota,http://www.toyota.com,ELEC,Electric,SUV,Dedicated
10474,41,1,363,"",27,CODA,2013,"","",77.0,mpge,68.0,mpge,"","","",Electric,100 kW e-motor,"","",31 kWh,"","","","","","","",Coda Automotive,http://www.codaautomotive.com/,ELEC,Electric,Sedan/Wagon,Dedicated
10491,41,1,379,"",27,500e,2013,"","",116.0,mpge Est.,100.0,mpge Est.,"","",Auto,"",100 kW e-motor,"","",31 kWh,"","","","","","",Select regions only,Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
10492,41,1,219,"",27,Focus,2013,"","",110.0,mpge,99.0,mpge,"","",Auto,"",107 kW e-motor,"","",23 kWh,"","","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
10524,41,1,209,"",27,FIT EV,2013,"","",132.0,mpge,105.0,mpge,"","","","",92 kW e-motor,"","",20 kWh,"","","","","","",Limited availability,Honda,http://automobiles.honda.com,ELEC,Electric,Sedan/Wagon,Dedicated
10540,41,1,263,"",27,i-MiEV,2013,"","",126.0,mpge,99.0,mpge,"","","","",49 kW e-motor,"","",16 kWh,"","","","","","","",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
10541,41,1,217,"",27,Leaf,2013,"","",106.0,mpge,92.0,mpge,"","","","",80 kW e-motor,"","",24 kWh,"","","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
10557,41,1,353,"",27,iQ EV,2013,"","",138.0,mpge,105.0,mpge,"","",Auto,"",47 kW e-motor,"","",12.0 kWh,"","","","","","","",Scion,http://www.scion.com/,ELEC,Electric,Sedan/Wagon,Dedicated
